Código del producto,Código del fabricante,Descripción del producto,Column1,Stock,
204.12,123228412,Placa bloqueada de Cadera en titanio de 12 orificios der.,Stock,4,
205,Placa bloqueada 4.5 ancha en titanio y sus componentes,,Stock,47,
205.01,123121008,Placa bloqueada 4.5 ancha en titanio de 8 orificios,Stock,3,
205.02,123121010,Placa bloqueada 4.5 ancha en titanio de 10 orificios,Stock,13,
205.03,123121012,Placa bloqueada 4.5 ancha en titanio de 12 orificios,Stock,12,
205.04,123121014,Placa bloqueada 4.5 ancha en titanio de 14 orificios,Stock,9,
205.05,123221016,Placa bloqueada 4.5 ancha en titanio de 16 orificios,Stock,5,
205.06,123121018,Placa bloqueada 4.5 ancha en titanio de 18 orificios,Stock,5,
206,Placa bloqueada 4.5 estrecha en titanio y sus componentes,,Stock,36,
206.01,123222008,Placa bloqueada 4.5 estrecha en titanio de 8 orificios,Stock,12,
206.02,123222010,Placa bloqueada 4.5 estrecha en titanio de 10 orificios,Stock,5,
206.03,123222012,Placa bloqueada 4.5 estrecha en titanio de 12 orificios,Stock,13,
206.04,123222014,Placa bloqueada 4.5 estrecha en titanio de 14 orificios,Stock,4,
206.05,123222016,Placa bloqueada 4.5 estrecha en titanio de 16 orificios,Stock,2,
206.06,123222018,Placa bloqueada 4.5 estrecha en titanio de 18 orificios,Stock,0,
207,Tornillo bloqueado en titanio 5.0,,Stock,3209,
207.01,133202018,Tornillo bloqueado en titanio 5.0x18mm,Stock,0,
207.02,133202020,Tornillo bloqueado en titanio 5.0x20mm,Stock,0,
207.03,133202022,Tornillo bloqueado en titanio 5.0x22mm,Stock,0,
207.04,133202024,Tornillo bloqueado en titanio 5.0x24mm,Stock,138,
207.05,133202026,Tornillo bloqueado en titanio 5.0x26mm,Stock,261,
207.06,133202028,Tornillo bloqueado en titanio 5.0x28mm,Stock,301,
207.07,133202030,Tornillo bloqueado en titanio 5.0x30mm,Stock,339,
207.08,133202032,Tornillo bloqueado en titanio 5.0x32mm,Stock,0,
207.09,133202034,Tornillo bloqueado en titanio 5.0x34mm,Stock,0,
207.1,133202036,Tornillo bloqueado en titanio 5.0x36mm,Stock,5,
207.11,133202038,Tornillo bloqueado en titanio 5.0x38mm,Stock,371,
207.12,133202040,Tornillo bloqueado en titanio 5.0x40mm,Stock,378,
207.13,133202042,Tornillo bloqueado en titanio 5.0x42mm,Stock,81,
207.14,133202044,Tornillo bloqueado en titanio 5.0x44mm,Stock,127,
207.15,133202046,Tornillo bloqueado en titanio 5.0x46mm,Stock,90,
207.16,133202048,Tornillo bloqueado en titanio 5.0x48mm,Stock,114,
207.17,133202050,Tornillo bloqueado en titanio 5.0x50mm,Stock,-4,
207.18,133202055,Tornillo bloqueado en titanio 5.0x55mm,Stock,20,
207.19,133202060,Tornillo bloqueado en titanio 5.0x60mm,Stock,65,
207.2,133202065,Tornillo bloqueado en titanio 5.0x65mm,Stock,131,
207.21,133202070,Tornillo bloqueado en titanio 5.0x70mm,Stock,304,
207.22,133202075,Tornillo bloqueado en titanio 5.0x75mm,Stock,87,
207.23,133202080,Tornillo bloqueado en titanio 5.0x80mm,Stock,179,
207.24,133202085,Tornillo bloqueado en titanio 5.0x85mm,Stock,92,
207.25,133202090,Tornillo bloqueado en titanio 5.0x90mm,Stock,98,
207.26,133202095,Tornillo bloqueado en titanio 5.0x95mm,Stock,29,
207.27,133202100,Tornillo bloqueado en titanio 5.0x100mm,Stock,5,
208,Tornillo bloqueado autoperforante en titanio 5.0,,Stock,93,
208.01,133203018,Tornillo bloqueado autoperforante en titanio 5.0x18mm,Stock,37,
208.02,133203020,Tornillo bloqueado autoperforante en titanio 5.0x20mm,Stock,30,
208.03,133203022,Tornillo bloqueado autoperforante en titanio 5.0x22mm,Stock,15,
208.04,133203024,Tornillo bloqueado autoperforante en titanio 5.0x24mm,Stock,0,
208.05,133203026,Tornillo bloqueado autoperforante en titanio 5.0x26mm,Stock,0,
208.06,133203028,Tornillo bloqueado autoperforante en titanio 5.0x28mm,Stock,10,
208.07,133203030,Tornillo bloqueado autoperforante en titanio 5.0x30mm,Stock,1,
208.08,133203032,Tornillo bloqueado autoperforante en titanio 5.0x32mm,Stock,0,
208.09,133203034,Tornillo bloqueado autoperforante en titanio 5.0x34mm,Stock,0,
208.1,133203036,Tornillo bloqueado autoperforante en titanio 5.0x36mm,Stock,0,
208.11,133203038,Tornillo bloqueado autoperforante en titanio 5.0x38mm,Stock,0,
208.12,133203040,Tornillo bloqueado autoperforante en titanio 5.0x40mm,Stock,0,
208.13,133203060,Tornillo bloqueado autoperforante en titanio 5.0x60mm,Stock,0,
208.14,133203065,Tornillo bloqueado autoperforante en titanio 5.0x65mm,Stock,0,
208.15,133203070,Tornillo bloqueado autoperforante en titanio 5.0x70mm,Stock,0,
208.16,133203075,Tornillo bloqueado autoperforante en titanio 5.0x75mm,Stock,0,
208.17,133203080,Tornillo bloqueado autoperforante en titanio 5.0x80mm,Stock,0,
208.18,133203085,Tornillo bloqueado autoperforante en titanio 5.0x85mm,Stock,0,
208.19,133203090,Tornillo bloqueado autoperforante en titanio 5.0x90mm,Stock,0,
208.2,133203095,Tornillo bloqueado autoperforante en titanio 5.0x95mm,Stock,0,
209,Tornillo Cortical en titanio 4.5,,Stock,642,
209.01,133111026,Tornillo Cortical en titanio 4.5x26mm,Stock,36,
209.02,133111028,Tornillo Cortical en titanio 4.5x28mm,Stock,35,
209.03,133111030,Tornillo Cortical en titanio 4.5x30mm,Stock,32,
